Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT
Date,,,,,,,,,,
1980-12-12,0.09883447736501694,,0.09926416863667624,,0.09883447736501694,,0.09883447736501694,,469033600,
1980-12-15,0.09367821365594864,,0.09410790488811285,,0.09367821365594864,,0.09410790488811285,,175884800,
1980-12-16,0.08680243045091629,,0.08723211594284744,,0.08680243045091629,,0.08723211594284744,,105728000,
1980-12-17,0.08895086497068405,,0.08938055617861522,,0.08895086497068405,,0.08895086497068405,,86441600,
1980-12-18,0.09152976423501968,,0.09195944968069764,,0.09152976423501968,,0.09152976423501968,,73449600,
1980-12-19,0.09711570292711258,,0.097545394106627,,0.09711570292711258,,0.09711570292711258,,48630400,
1980-12-22,0.10184235125780106,,0.10227281152750392,,0.10184235125780106,,0.10184235125780106,,37363200,
1980-12-23,0.1061399057507515,,0.10656959683563827,,0.1061399057507515,,0.1061399057507515,,46950400,
1980-12-24,0.11172586679458618,,0.11215555792317917,,0.11172586679458618,,0.11172586679458618,,48003200,
1980-12-26,0.12203916907310486,,0.12246886025535253,,0.12203916907310486,,0.12203916907310486,,55574400,
1980-12-29,0.12375786900520325,,0.1241875600023145,,0.12375786900520325,,0.12375786900520325,,93161600,
1980-12-30,0.12075012922286987,,0.12117980900954323,,0.12075012922286987,,0.12117980900954323,,68880000,
1980-12-31,0.11731261759996414,,0.11774230884487344,,0.11731261759996414,,0.11774230884487344,,35750400,
1981-01-02,0.1186017245054245,,0.11946110731874157,,0.1186017245054245,,0.1186017245054245,,21660800,
1981-01-05,0.11602356284856796,,0.1164532426466341,,0.11602356284856796,,0.1164532426466341,,35728000,
1981-01-06,0.11086651682853699,,0.11129620808228245,,0.11086651682853699,,0.11129620808228245,,45158400,
1981-01-07,0.1061399057507515,,0.10656959683563827,,0.1061399057507515,,0.10656959683563827,,55686400,
1981-01-08,0.10399150848388672,,0.1044211882396032,,0.10399150848388672,,0.1044211882396032,,39827200,
1981-01-09,0.10957745462656021,,0.11000714588063747,,0.10957745462656021,,0.10957745462656021,,21504000,
1981-01-12,0.10871806740760803,,0.10957743831317238,,0.10871806740760803,,0.10957743831317238,,23699200,
1981-01-13,0.10485085844993591,,0.10528054959416014,,0.10485085844993591,,0.10528054959416014,,23049600,
1981-01-14,0.10528057813644409,,0.10571026939716056,,0.1052805781364441,,0.1052805781364441,,14291200,
1981-01-15,0.10742899030447006,,0.1082883610899832,,0.10742899030447006,,0.10742899030447006,,14067200,
1981-01-16,0.10656963288784027,,0.10699932411809036,,0.10656963288784027,,0.10699932411809036,,13395200,
1981-01-19,0.11301499605178833,,0.11344468743643607,,0.11301499605178833,,0.11301499605178833,,41574400,
1981-01-20,0.10957745462656021,,0.11000714588063747,,0.10957745462656021,,0.11000714588063747,,30083200,
1981-01-21,0.11172586679458618,,0.11258523757712458,,0.11172586679458618,,0.11172586679458618,,15904000,
1981-01-22,0.11301499605178833,,0.11387437882108381,,0.11301499605178833,,0.11301499605178833,,35548800,
1981-01-23,0.11258526146411896,,0.11344464390363844,,0.11258526146411896,,0.1130149526838787,,11222400,
1981-01-26,0.11086651682853699,,0.11129620808228245,,0.11086651682853699,,0.11129620808228245,,24640000,
1981-01-27,0.11000712960958481,,0.11086650051597961,,0.11000712960958482,,0.11086650051597961,,23699200,
1981-01-28,0.10656963288784027,,0.10699932411809036,,0.10656963288784027,,0.10699932411809036,,28156800,
1981-01-29,0.10270244628190994,,0.10313213756034548,,0.10270244628190996,,0.10313213756034548,,43904000,
1981-01-30,0.09711570292711258,,0.09797508528614143,,0.09711570292711258,,0.09797508528614143,,46188800,
1981-02-02,0.09152976423501968,,0.09195944968069764,,0.09152976423501968,,0.09195944968069764,,23766400,
1981-02-03,0.09496726840734482,,0.09539695384242446,,0.09496726840734482,,0.09496726840734482,,19152000,
1981-02-04,0.09840475767850876,,0.09883443730134106,,0.09840475767850876,,0.09840475767850876,,27865600,
1981-02-05,0.09840475767850876,,0.09926412839882014,,0.09840475767850876,,0.09840475767850876,,7929600,
1981-02-06,0.09883447736501694,,0.09926416863667624,,0.09883447736501694,,0.09883447736501694,,13865600,
1981-02-09,0.09367821365594864,,0.09453759038295188,,0.09367821365594864,,0.09453759038295188,,16755200,
1981-02-10,0.09367821365594864,,0.09410790488811285,,0.09367821365594864,,0.09367821365594864,,18345600,
1981-02-11,0.0906703993678093,,0.09110008486922466,,0.0906703993678093,,0.09110008486922466,,13843200,
1981-02-12,0.08981023728847504,,0.09024069727703617,,0.08981023728847504,,0.09024069727703617,,14560000,
1981-02-13,0.08766181021928787,,0.08852118697034785,,0.08766181021928787,,0.08852118697034785,,11155200,
1981-02-17,0.08981023728847504,,0.09024069727703617,,0.08981023728847504,,0.08981023728847504,,12275200,
1981-02-18,0.09367821365594864,,0.09453759038295188,,0.09367821365594864,,0.09367821365594864,,19241600,
1981-02-19,0.08809148520231247,,0.0885211763951721,,0.08809148520231247,,0.0885211763951721,,22310400,
