             Date       Close        High         Low        Open      Volume
0      1980-12-12    0.098834    0.099264    0.098834    0.098834   469033600
1      1980-12-15    0.093678    0.094108    0.093678    0.094108   175884800
2      1980-12-16    0.086802    0.087232    0.086802    0.087232   105728000
3      1980-12-17    0.088951    0.089381    0.088951    0.088951    86441600
4      1980-12-18    0.091530    0.091959    0.091530    0.091530    73449600
5      1980-12-19    0.097116    0.097545    0.097116    0.097116    48630400
6      1980-12-22    0.101842    0.102273    0.101842    0.101842    37363200
7      1980-12-23    0.106140    0.106570    0.106140    0.106140    46950400
8      1980-12-24    0.111726    0.112156    0.111726    0.111726    48003200
9      1980-12-26    0.122039    0.122469    0.122039    0.122039    55574400
10     1980-12-29    0.123758    0.124188    0.123758    0.123758    93161600
11     1980-12-30    0.120750    0.121180    0.120750    0.121180    68880000
12     1980-12-31    0.117313    0.117742    0.117313    0.117742    35750400
13     1981-01-02    0.118602    0.119461    0.118602    0.118602    21660800
14     1981-01-05    0.116024    0.116453    0.116024    0.116453    35728000
15     1981-01-06    0.110866    0.111296    0.110866    0.111296    45158400
16     1981-01-07    0.106140    0.106570    0.106140    0.106570    55686400
17     1981-01-08    0.103992    0.104421    0.103992    0.104421    39827200
18     1981-01-09    0.109577    0.110007    0.109577    0.109577    21504000
19     1981-01-12    0.108718    0.109577    0.108718    0.109577    23699200
20     1981-01-13    0.104851    0.105281    0.104851    0.105281    23049600
21     1981-01-14    0.105281    0.105710    0.105281    0.105281    14291200
22     1981-01-15    0.107429    0.108288    0.107429    0.107429    14067200
23     1981-01-16    0.106570    0.106999    0.106570    0.106999    13395200
24     1981-01-19    0.113015    0.113445    0.113015    0.113015    41574400
25     1981-01-20    0.109577    0.110007    0.109577    0.110007    30083200
26     1981-01-21    0.111726    0.112585    0.111726    0.111726    15904000
27     1981-01-22    0.113015    0.113874    0.113015    0.113015    35548800
28     1981-01-23    0.112585    0.113445    0.112585    0.113015    11222400
29     1981-01-26    0.110866    0.111296    0.110866    0.111296    24640000
30     1981-01-27    0.110007    0.110867    0.110007    0.110867    23699200
31     1981-01-28    0.106570    0.106999    0.106570    0.106999    28156800
32     1981-01-29    0.102702    0.103132    0.102702    0.103132    43904000
33     1981-01-30    0.097116    0.097975    0.097116    0.097975    46188800
34     1981-02-02    0.091530    0.091959    0.091530    0.091959    23766400
35     1981-02-03    0.094967    0.095397    0.094967    0.094967    19152000
36     1981-02-04    0.098405    0.098834    0.098405    0.098405    27865600
37     1981-02-05    0.098405    0.099264    0.098405    0.098405     7929600
38     1981-02-06    0.098834    0.099264    0.098834    0.098834    13865600
39     1981-02-09    0.093678    0.094538    0.093678    0.094538    16755200
40     1981-02-10    0.093678    0.094108    0.093678    0.093678    18345600
41     1981-02-11    0.090670    0.091100    0.090670    0.091100    13843200
42     1981-02-12    0.089810    0.090241    0.089810    0.090241    14560000
43     1981-02-13    0.087662    0.088521    0.087662    0.088521    11155200
44     1981-02-17    0.089810    0.090241    0.089810    0.089810    12275200
45     1981-02-18    0.093678    0.094538    0.093678    0.093678    19241600
46     1981-02-19    0.088091    0.088521    0.088091    0.088521    22310400
47     1981-02-20    0.083365    0.083795    0.083365    0.083795    24371200
48     1981-02-23    0.084654    0.085084    0.084654    0.084654    14112000
49     1981-02-24    0.081646    0.082506    0.081646    0.082506    16979200
50     1981-02-25    0.086802    0.087232    0.086802    0.086802    19488000
51     1981-02-26    0.088091    0.088521    0.088091    0.088091    10841600
52     1981-02-27    0.091100    0.091959    0.091100    0.091100    14761600
53     1981-03-02    0.091530    0.091959    0.091530    0.091530    11760000
54     1981-03-03    0.090241    0.090670    0.090241    0.090670    16172800
55     1981-03-04    0.089381    0.089810    0.089381    0.089810    13708800
56     1981-03-05    0.088951    0.089381    0.088951    0.089381     5376000
57     1981-03-06    0.088091    0.088951    0.088091    0.088951    11603200
58     1981-03-09    0.081216    0.081646    0.081216    0.081646    15321600
59     1981-03-10    0.077349    0.077778    0.077349    0.077778    28380800
60     1981-03-11    0.074341    0.075200    0.074341    0.075200    29859200
61     1981-03-12    0.077349    0.077778    0.077349    0.077349    59248000
62     1981-03-13    0.076489    0.076919    0.076489    0.076919   231302400
63     1981-03-16    0.079498    0.080357    0.079498    0.079498    37228800
64     1981-03-17    0.083365    0.084224    0.083365    0.083365    43747200
65     1981-03-18    0.088521    0.089381    0.088521    0.088521    36937600
66     1981-03-19    0.087662    0.088091    0.087662    0.088091    37811200
67     1981-03-20    0.088521    0.089381    0.088521    0.088521    14604800
68     1981-03-23    0.091959    0.092819    0.091959    0.091959    22019200
69     1981-03-24    0.091530    0.091959    0.091530    0.091959    28156800
70     1981-03-25    0.089810    0.090670    0.089810    0.090670     7056000
71     1981-03-26    0.088091    0.088521    0.088091    0.088521    12275200
72     1981-03-27    0.085084    0.085513    0.085084    0.085513    12252800
73     1981-03-30    0.085084    0.085943    0.085084    0.085084     9900800
74     1981-03-31    0.084224    0.085084    0.084224    0.085084    15993600
75     1981-04-01    0.083365    0.083795    0.083365    0.083795    34070400
76     1981-04-02    0.090670    0.091100    0.090670    0.090670    31404800
77     1981-04-03    0.091100    0.091530    0.091100    0.091100    16486400
78     1981-04-06    0.089381    0.089810    0.089381    0.089810    22803200
79     1981-04-07    0.088521    0.088951    0.088521    0.088951    10684800
80     1981-04-08    0.092819    0.093678    0.092819    0.092819    21952000
81     1981-04-09    0.094538    0.094967    0.094538    0.094538    12499200
82     1981-04-10    0.095827    0.096256    0.095827    0.095827    33465600
83     1981-04-13    0.095827    0.096256    0.095827    0.095827    16060800
84     1981-04-14    0.095827    0.096256    0.095827    0.095827     6652800
85     1981-04-15    0.091100    0.091530    0.091100    0.091530    34048000
86     1981-04-16    0.085943    0.086373    0.085943    0.086373    23878400
87     1981-04-20    0.088521    0.088951    0.088521    0.088521    35347200
88     1981-04-21    0.094538    0.094967    0.094538    0.094538    28537600
89     1981-04-22    0.097975    0.098405    0.097975    0.097975    18995200
90     1981-04-23    0.100553    0.100983    0.100553    0.100553    58016000
91     1981-04-24    0.099694    0.100553    0.099694    0.100553    35056000
